,id,sugar to flour ratio,sugar index,bake temp,chill time,calories,density,pH,grams baking soda,bake time,quality,butter type,weight,diameter,mixins,crunch factor,aesthetic appeal
0,1,0.23,3.3,520,34.0,113.0,0.99429,8.16,0.48,8.4,7,melted,12.4,7,raisins,1.71,3
1,2,0.18,1.9,360,33.0,106.0,0.98746,8.21,0.83,14.0,9,melted,9.4,7,"nuts, chocolate",1.78,3
2,3,0.18,10.5,490,41.0,124.0,0.9963,8.14,0.35,10.5,7,melted,12.2,7,chocolate,1.59,3
3,4,0.24,2.4,770,6.0,33.0,0.9974,8.09,0.57,9.4,5,cubed,19.8,7,"nuts, oats, chocolate",1.3,3
4,5,0.22,18.15,500,23.0,139.0,0.99904,8.06,0.5,9.2,7,melted,13.2,7,chocolate,1.16,3
5,6,0.39,2.3,410,31.0,102.0,0.99221,8.22,0.58,10.9,9,melted,13.2,7,chocolate,1.93,3
6,7,0.39,2.6,440,30.0,180.0,0.9941,8.46,0.44,10.8,9,melted,15.2,7,chocolate,1.51,3
7,8,0.18,1.8,700,13.0,40.0,0.997,8.44,0.6,9.1,5,cubed,14.2,7,"nuts, oats, chocolate",1.89,3
8,9,0.17,12.9,330,59.0,186.0,0.99754,8.08,0.49,9.4,7,melted,13.8,7,"nuts, chocolate",1.18,3
9,10,0.49,9.6,300,45.0,197.0,0.9938,8.13,0.38,12.3,9,melted,15.2,7,chocolate,1.65,3
10,11,0.29,3.3,370,32.0,140.0,0.9895,8.17,0.36,12.8,9,melted,12.6,7,chocolate,1.2,3
11,12,0.25,7.5,300,18.0,117.0,0.99116,8.09,0.38,13.0,8,melted,13.8,7,chocolate,1.63,3
12,13,0.48,4.0,1860,64.0,150.0,0.9945,8.06,0.4,,7,melted,12.8,7,"chocolate, oats",1.05,3
13,14,0.58,16.75,500,43.0,163.0,0.9999,8.15,0.54,9.2,7,melted,15.2,7,raisins,1.79,3
14,15,0.34,3.4,360,34.0,200.0,0.9937,8.14,0.76,10.0,7,melted,13.0,7,raisins,1.29,3
15,16,0.02,,670,9.0,23.0,3.0,8.47,0.67,9.4,6,cubed,14.0,7,"nuts, oats, chocolate",1.95,3
16,17,0.34,7.6,450,25.0,118.0,0.99222,8.03,0.37,11.0,8,melted,12.0,7,"nuts, chocolate",1.94,3
17,18,0.26,1.4,410,40.0,141.0,0.9941,25.0,0.72,9.5,8,melted,13.0,7,"chocolate, oats",1.6,3
18,19,0.05,2.1,610,20.0,49.0,0.99705,8.31,0.55,9.7,3,cubed,14.6,7,"raisins, oats",1.48,3
19,20,0.33,7.0,240,14.0,130.0,0.9918,8.25,0.45,12.5,9,melted,15.2,7,"nuts, chocolate",1.97,4
20,21,0.35,1.2,500,36.0,140.0,0.99138,8.09,0.45,11.2,7,melted,15.6,7,chocolate,1.15,3
21,22,0.28,14.7,510,29.0,-99.0,0.99792,7.96,0.39,9.0,9,melted,14.0,7,"chocolate, oats",1.08,3
22,23,0.39,1.0,320,14.0,71.0,0.98912,8.31,0.38,13.0,9,melted,13.4,7,"chocolate, oats",1.55,3
23,24,0.29,2.6,1090,31.0,119.0,0.99801,8.15,0.5,9.1,5,cubed,16.8,7,"nuts,raisins",1.71,3
24,25,0.29,1.6,520,48.0,185.0,0.9934,8.21,0.5,9.4,7,melted,12.6,7,chocolate,1.78,3
25,26,0.31,14.5,450,39.0,193.0,0.9986,8.1,0.5,9.2,8,melted,14.8,7,"chocolate, oats",1.99,3
26,27,0.32,2.5,420,23.0,218.5,0.9935,8.27,0.6,9.8,7,melted,12.2,7,chocolate,1.73,3
27,28,0.32,2.4,480,35.0,103.0,0.9911,8.28,0.46,12.0,10,melted,13.6,7,raisins,1.68,3
28,29,0.4,2.7,820,6.0,11.0,0.99538,8.44,0.54,12.2,6,cubed,15.2,7,"nuts, chocolate",1.82,3
29,30,0.49,9.0,440,31.0,185.0,0.998,8.34,0.49,10.0,8,melted,16.0,7,chocolate,1.77,3
30,31,0.23,2.5,440,16.0,70.0,0.99352,8.46,0.65,12.5,6,cubed,12.2,7,"nuts,raisins",1.36,3
31,32,0.27,4.6,290,22.0,104.0,0.9949,8.34,0.44,9.0,7,melted,11.0,7,"chocolate, oats",1.62,3
32,33,0.44,1.9,850,9.0,22.0,0.99708,8.28,0.55,9.5,5,cubed,18.6,7,"nuts, chocolate",1.14,3
33,34,0.36,13.2,670,53.0,178.0,0.9976,8.01,0.48,9.0,8,melted,14.8,7,chocolate,1.13,3
34,35,0.31,17.3,550,32.0,197.0,1.0002,8.13,0.46,9.0,8,melted,14.6,7,"chocolate, oats",1.04,3
35,36,0.35,1.4,500,23.0,83.0,0.99019,8.17,0.48,12.0,9,melted,13.2,7,chocolate,1.83,3
36,37,0.07,7.1,440,34.0,145.0,0.9945,8.34,0.57,9.7,8,melted,10.6,7,"nuts,raisins",1.17,3
37,38,0.0,1.4,570,15.0,26.0,0.99448,8.36,0.45,9.5,5,cubed,12.0,7,"nuts,raisins",1.77,3
38,39,0.39,8.0,280,22.0,84.0,0.994,8.11,0.66,10.8,8,melted,13.8,7,"chocolate, oats",1.02,3
39,40,0.19,2.0,810,17.0,108.0,0.9962,8.32,0.54,9.5,5,cubed,15.6,7,"nuts,raisins",1.23,3
40,41,0.35,1.6,880,16.0,39.0,0.9961,8.34,0.55,9.2,5,cubed,14.0,7,"nuts, chocolate",1.95,3
41,42,0.28,14.7,510,29.0,149.0,0.99792,7.96,0.39,9.0,9,melted,14.0,7,"chocolate, oats",1.08,3
42,43,0.33,15.7,530,51.0,190.0,0.9978,8.22,0.51,9.7,8,melted,13.0,7,chocolate,1.18,3
43,44,0.0,1.9,800,22.0,39.0,0.99701,8.4,0.74,9.7,5,cubed,13.6,7,"nuts, oats, chocolate",1.08,3
44,45,0.68,1.7,4140,18.0,64.0,0.99652,7.9,1.33,9.1,6,cubed,18.2,7,"nuts, oats",1.69,3
45,46,0.27,10.6,390,31.0,119.0,0.99815,8.27,0.3,9.3,8,melted,15.2,7,raisins,1.43,3
46,47,0.26,2.1,390,8.0,143.0,0.9942,8.05,0.74,9.8,7,melted,15.8,7,"chocolate, oats",1.35,3
47,48,0.36,1.4,450,11.0,119.0,0.99556,8.17,0.47,9.4,6,melted,17.2,7,raisins,1.54,3
48,49,0.0,1.9,650,9.0,18.0,0.9972,8.46,0.65,9.2,5,cubed,13.0,7,"nuts, oats, chocolate",1.58,3
49,50,0.16,1.8,650,3.0,16.0,0.9962,8.42,0.92,10.5,7,cubed,16.0,7,"nuts,raisins",1.28,3
50,51,0.24,9.6,1190,56.0,178.0,0.99578,8.15,0.44,10.2,8,melted,14.3,7,"chocolate, oats",1.51,3
51,52,0.23,1.4,470,20.0,77.0,0.99001,8.32,0.62,11.4,7,melted,10.4,7,chocolate,1.41,3
